event_id,boundary_type,boundary_time_utc,scientific_status,used_for_minute_labeling,label_source,notes
AUG2024_COMPLEX_ICME_01,EVENT_WINDOW_START,2024-08-10 08:31:00,CONFIGURED_PROTOTYPE,True,https://arxiv.org/html/2507.17523v1,Start of the registered Phase 2 scientific window.
AUG2024_COMPLEX_ICME_01,SHOCK_REFERENCE,2024-08-10 12:50:00,APPROXIMATE_INTERNAL_BENCHMARK,True,https://arxiv.org/html/2507.17523v1,Minute isolated as SHOCK.
AUG2024_COMPLEX_ICME_01,ICME_EJECTA_START,2024-08-11 12:00:00,CONFIGURED_PROTOTYPE,True,https://arxiv.org/html/2507.17523v1,Start of the half-open ICME/ejecta interval.
AUG2024_COMPLEX_ICME_01,EVENT_WINDOW_END,2024-08-13 23:59:00,CONFIGURED_PROTOTYPE,True,https://arxiv.org/html/2507.17523v1,Inclusive end of the registered Phase 2 scientific window.
AUG2024_COMPLEX_ICME_01,ICME_EJECTA_END,2024-08-14 00:00:00,CONFIGURED_PROTOTYPE,True,https://arxiv.org/html/2507.17523v1,End of ICME/ejecta; post-ICME begins here.
AUG2024_POST_EVENT_CONTROL_01,EVENT_WINDOW_START,2024-08-14 00:00:00,CONFIGURED_PROTOTYPE,True,https://arxiv.org/html/2507.17523v1,Start of the registered Phase 2 scientific window.
AUG2024_POST_EVENT_CONTROL_01,EVENT_WINDOW_END,2024-08-15 23:59:00,CONFIGURED_PROTOTYPE,True,https://arxiv.org/html/2507.17523v1,Inclusive end of the registered Phase 2 scientific window.
AUG2024_QUIET_CONTROL_01,EVENT_WINDOW_START,2024-08-09 12:00:00,PROVISIONAL_WINDOW,True,https://arxiv.org/html/2507.17523v1,Start of the registered Phase 2 scientific window.
AUG2024_QUIET_CONTROL_01,EVENT_WINDOW_END,2024-08-10 08:30:00,PROVISIONAL_WINDOW,True,https://arxiv.org/html/2507.17523v1,Inclusive end of the registered Phase 2 scientific window.
MAR2025_CIR_HSS_01,EVENT_WINDOW_START,2025-03-08 00:00:00,LITERATURE_BACKED_APPROXIMATE,True,https://www.sidc.be/article/coronal-hole,Start of the registered Phase 2 scientific window.
MAR2025_CIR_HSS_01,EVENT_WINDOW_END,2025-03-10 23:59:00,LITERATURE_BACKED_APPROXIMATE,True,https://www.sidc.be/article/coronal-hole,Inclusive end of the registered Phase 2 scientific window.
NOV2024_ORIENTATION_CONTROL_01,EVENT_WINDOW_START,2024-11-25 06:30:00,LITERATURE_BACKED_EXACT,True,https://arxiv.org/html/2507.11952v2,Start of the registered Phase 2 scientific window.
NOV2024_ORIENTATION_CONTROL_01,EVENT_WINDOW_END,2024-11-25 14:10:00,LITERATURE_BACKED_EXACT,True,https://arxiv.org/html/2507.11952v2,Inclusive end of the registered Phase 2 scientific window.
OCT2024_COMPLEX_ICME_01,EVENT_WINDOW_START,2024-10-10 06:00:00,LITERATURE_BACKED_APPROXIMATE,True,https://arxiv.org/html/2602.13644v2,Start of the registered Phase 2 scientific window.
OCT2024_COMPLEX_ICME_01,SHOCK_AFTER_LOWER_BOUND,2024-10-10 14:00:00,LITERATURE_APPROXIMATE_LOWER_BOUND,False,https://arxiv.org/html/2602.13644v2,Publication states that the shock arrived after 14:00 UTC; this time is not used as an exact shock label.
OCT2024_COMPLEX_ICME_01,SHEATH_MC_BOUNDARY_REFERENCE,2024-10-11 00:00:00,LITERATURE_APPROXIMATE,False,https://arxiv.org/html/2602.13644v2,Approximate sheath-magnetic-cloud boundary described in the publication; not used for minute-level substructure labels.
OCT2024_COMPLEX_ICME_01,EVENT_WINDOW_END,2024-10-11 23:59:00,LITERATURE_BACKED_APPROXIMATE,True,https://arxiv.org/html/2602.13644v2,Inclusive end of the registered Phase 2 scientific window.
SEP2024_QUIET_CONTROL_01,EVENT_WINDOW_START,2024-09-23 15:00:00,LITERATURE_BACKED_SUBWINDOW,True,https://arxiv.org/html/2507.11952v2,Start of the registered Phase 2 scientific window.
SEP2024_QUIET_CONTROL_01,EVENT_WINDOW_END,2024-09-23 23:59:00,LITERATURE_BACKED_SUBWINDOW,True,https://arxiv.org/html/2507.11952v2,Inclusive end of the registered Phase 2 scientific window.
